ADDRESSID,CITYID,ADDRESSLINE1,ADDRESSLINE2,POSTALCODE
85650,88480,897 Long Airport Avenue,,10022
85651,88481,59 rue de l'Abbaye,,51100
85652,88482,27 rue du Colonel Pierre Avia,,75508
85653,88483,78934 Hillside Dr.,,90003
85654,88484,7734 Strong St.,,
85655,88485,9408 Furth Circle,,94217
85656,88486,"184, chausse de Tournai",,59000
85657,88487,"Drammen 121, PR 744 Sentrum",,N 5804
85658,88488,"25, rue Lauriston",,75016
85659,88489,636 St Kilda Road,Level 3,3004
85660,88490,7476 Moss Rd.,,94019
85661,88491,25593 South Bay Ln.,,97562
85662,88492,"67, rue des Cinquante Otages",,44000
85663,88493,39323 Spinnaker Dr.,,51247
85664,88494,Keskuskatu 45,,21240
85665,88495,Erling Skakkes gate 78,,4110
85666,88496,7586 Pompton St.,,70267
85667,88497,Geislweg 14,,5020
85668,88498,"Monitor Money Building, 815 Pacific Hwy",Level 6,2067
85669,88499,1785 First Street,,50553
85670,88500,Berkeley Gardens 12  Brewery,,WX1 6LT
85671,88501,"C/ Moralzarzal, 86",,28034
85672,88502,BerguvsvÃÂgen  8,,S-958 22
85673,88503,"C/ Araquil, 67",,28023
85674,88504,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,79903
85675,88505,31 Duncan St. West End,,4101
85676,88506,782 First Street,,71270
85677,88507,"2, rue du Commerce",,69004
85678,88508,1900 Oak St.,,V3F 2K1
85679,88509,567 North Pendale Street,,97823
85680,88510,2-2-8 Roppongi,,106-0032
85681,88511,Via Monte Bianco 34,,10100
85682,88512,?kergatan 24,,S-844 67
85683,88513,"67, avenue de l'Europe",,78000
85684,88514,2304 Long Airport Avenue,,62005
85685,88515,7825 Douglas Av.,,58339
85686,88516,201 Miller Street,Level 15,2060
85687,88517,43 rue St. Laurent,,H1J 1C3
85688,88518,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,530-0003
85689,88519,3758 North Pendale Street,,24067
85690,88520,Vinb'ltet 34,,1734
85691,88521,35 King George,,WX3 6FW
85692,88522,1 rue Alsace-Lorraine,,31000
85693,88523,120 Hanover Sq.,,WA1 1DP
85694,88524,"Rambla de CataluÃÂ¤a, 23",,8022
85695,88525,361 Furth Circle,,91217
85696,88526,Rue Joseph-Bens 532,,B-1180
85697,88527,23 Tsawassen Blvd.,,T2F 8M4
85698,88528,8616 Spinnaker Dr.,,51003
85699,88529,Garden House Crowther Way,,PO31 7PJ
85700,88530,Torikatu 38,,90110
85701,88531,"265, boulevard Charonne",,75012
85702,88532,Kirchgasse 6,,8010
85703,88533,Village Close - 106 Linden Road Sandown,2nd Floor,69045
85704,88534,15 McCallum Street - NatWest Center #13-03,,1227 MM
85705,88535,"12, rue des Bouchers",,13008
85706,88536,Mehrheimerstr. 369,,50739
85707,88537,Grenzacherweg 237,,1203
85708,88538,Strada Provinciale 124,,42100
85709,88539,Lyonerstr. 34,,60528
85710,88540,"Software Engineering Center, SEC Oy",,FIN-02271
85711,88541,25 Maiden Lane,Floor No. 4,2
85712,88542,Fauntleroy Circus,,EC2 5NT
85713,88543,Smagsloget 45,,8200
85714,88544,4097 Douglas Av.,,92561
85715,88545,"C/ Romero, 33",,41101
85716,88546,"24, place Kluber",,67000
85717,88547,8489 Strong St.,,83030
85718,88548,"Drammensveien 126 A, PB 744 Sentrum",,N 0106
85719,88549,Via Ludovico il Moro 22,,24100
85720,88550,7 Allen Street,,3150
85721,88551,2440 Pompton St.,,97561
85722,88552,Hansastr. 15,,80686
85723,88553,"Boulevard Tirou, 255",,B-6000
